Tempo (s)	Corrente (A)	Tensão (V)
0.273	5.36E-04	0.27
0.274	5.36E-04	0.29
0.275	5.36E-04	0.31
0.276	5.36E-04	0.34
0.277	5.36E-04	0.36
0.278	5.36E-04	0.4
0.279	5.36E-04	0.43
0.28	5.36E-04	0.47
0.281	5.36E-04	0.52
0.282	5.36E-04	0.56
0.283	5.36E-04	0.62
0.284	5.36E-04	0.68
0.285	5.36E-04	0.75
0.286	5.36E-04	0.82
0.287	5.36E-04	0.91
0.288	5.36E-04	1.01
0.289	5.36E-04	1.12
0.29	5.36E-04	1.26
0.291	5.36E-04	1.4
0.292	5.36E-04	1.56
0.293	5.36E-04	1.72
0.294	0	1.81
0.295	0	1.87
0.296	0.01	1.91
0.297	0.01	1.94
0.298	0.02	1.97
0.299	0.03	2
0.3	0.03	2.02
0.301	0.04	2.05
0.302	0.05	2.07
0.303	0.06	2.09
0.304	0.07	2.11
0.305	0.08	2.13
0.306	0.09	2.15
0.307	0.09	2.17
0.308	0.1	2.18
0.309	0.1	2.18
0.31	0.11	2.19
0.311	0.11	2.18
0.312	0.1	2.18
0.313	0.1	2.17
0.314	0.09	2.16
0.315	0.08	2.13
0.316	0.07	2.11
0.317	0.06	2.08
0.318	0.05	2.06
0.319	0.04	2.02
0.32	0.03	1.98
0.321	0.01	1.93
0.322	0	1.75
0.323	5.36E-04	0.82
0.324	5.36E-04	0.2
0.325	5.36E-04	-0.4
0.326	5.36E-04	-1.01
0.327	5.36E-04	-1.63
0.328	5.36E-04	-2.27
0.329	5.36E-04	-2.93
0.33	5.36E-04	-3.6
0.331	5.36E-04	-4.27
0.332	5.36E-04	-4.97
0.333	5.36E-04	-5.64
0.334	5.36E-04	-6.29
0.335	5.36E-04	-6.87
0.336	5.36E-04	-7.34
0.337	5.36E-04	-7.69
0.338	5.36E-04	-7.91
0.339	5.36E-04	-7.99
0.34	5.36E-04	-7.93
0.341	5.36E-04	-7.72
0.342	5.36E-04	-7.39
0.343	5.36E-04	-6.95
0.344	5.36E-04	-6.45
0.345	5.36E-04	-5.87
0.346	5.36E-04	-5.27
0.347	5.36E-04	-4.69
0.348	5.36E-04	-4.14
0.349	5.36E-04	-3.63
0.35	5.36E-04	-3.18
0.351	5.36E-04	-2.78
0.352	5.36E-04	-2.44
0.353	5.36E-04	-2.13
0.354	5.36E-04	-1.86
0.355	5.36E-04	-1.64
0.356	5.36E-04	-1.45
0.357	5.36E-04	-1.27
0.358	5.36E-04	-1.13
0.359	5.36E-04	-1
0.36	5.36E-04	-0.87
0.361	5.36E-04	-0.73
0.362	5.36E-04	-0.57
0.363	5.36E-04	-0.37
0.364	5.36E-04	-0.15
0.365	5.36E-04	0.02
0.366	5.36E-04	0.09
0.367	5.36E-04	0.12
0.368	5.36E-04	0.12
0.369	5.36E-04	0.13
0.37	5.36E-04	0.12
0.371	5.36E-04	0.11
0.372	5.36E-04	0.1
0.373	5.36E-04	0.09
0.374	5.36E-04	0.08
0.375	5.36E-04	0.07
0.376	5.36E-04	0.06
0.377	5.36E-04	0.05
0.378	5.36E-04	0.04
0.379	5.36E-04	0.03
0.38	5.36E-04	0.02
0.381	5.36E-04	0
0.382	5.36E-04	-0.02
0.383	5.36E-04	-0.03
0.384	5.36E-04	-0.05
0.385	5.36E-04	-0.07
0.386	5.36E-04	-0.09
0.387	5.36E-04	-0.1
0.388	5.36E-04	-0.12
0.389	5.36E-04	-0.14
0.39	5.36E-04	-0.15
0.391	5.36E-04	-0.17
0.392	5.36E-04	-0.19
0.393	5.36E-04	-0.2
0.394	5.36E-04	-0.22
0.395	5.36E-04	-0.24
0.396	5.36E-04	-0.26
0.397	5.36E-04	-0.27
0.398	5.36E-04	-0.28
0.399	5.36E-04	-0.3
0.4	5.36E-04	-0.31
0.401	5.36E-04	-0.32
0.402	5.36E-04	-0.33
0.403	5.36E-04	-0.34
0.404	5.36E-04	-0.35
0.405	5.36E-04	-0.36
0.406	5.36E-04	-0.37
0.407	5.36E-04	-0.37
0.408	5.36E-04	-0.38
0.409	5.36E-04	-0.38
0.41	5.36E-04	-0.39
0.411	5.36E-04	-0.39
0.412	5.36E-04	-0.39
0.413	5.36E-04	-0.39
0.414	5.36E-04	-0.39
0.415	5.36E-04	-0.38
0.416	5.36E-04	-0.38
0.417	5.36E-04	-0.38
0.418	5.36E-04	-0.37
0.419	5.36E-04	-0.36
0.42	5.36E-04	-0.36
0.421	5.36E-04	-0.35
0.422	5.36E-04	-0.34
0.423	5.36E-04	-0.33
0.424	5.36E-04	-0.32
0.425	5.36E-04	-0.31
0.426	5.36E-04	-0.3
0.427	5.36E-04	-0.28
0.428	5.36E-04	-0.27
0.429	5.36E-04	-0.26
0.43	5.36E-04	-0.25
0.431	5.36E-04	-0.23
0.432	5.36E-04	-0.23
0.433	5.36E-04	-0.22
0.434	5.36E-04	-0.21
0.435	5.36E-04	-0.2
0.436	5.36E-04	-0.2
0.437	5.36E-04	-0.19
0.438	5.36E-04	-0.18
0.439	5.36E-04	-0.17
0.44	5.36E-04	-0.17
0.441	5.36E-04	-0.16
0.442	5.36E-04	-0.15
0.443	5.36E-04	-0.14
0.444	5.36E-04	-0.13
0.445	5.36E-04	-0.13
0.446	5.36E-04	-0.12
0.447	5.36E-04	-0.11
0.448	5.36E-04	-0.1
0.449	5.36E-04	-0.09
0.45	5.36E-04	-0.08
0.451	5.36E-04	-0.07
0.452	5.36E-04	-0.05
0.453	5.36E-04	-0.04
0.454	5.36E-04	-0.03
0.455	5.36E-04	-0.02
0.456	5.36E-04	-0.01
0.457	5.36E-04	0.01
0.458	5.36E-04	0.02
0.459	5.36E-04	0.03
0.46	5.36E-04	0.04
0.461	5.36E-04	0.05
0.462	5.36E-04	0.06
0.463	5.36E-04	0.07
0.464	5.36E-04	0.07
0.465	5.36E-04	0.08
0.466	5.36E-04	0.09
0.467	5.36E-04	0.1
0.468	5.36E-04	0.11
0.469	5.36E-04	0.12
0.47	5.36E-04	0.12
0.471	5.36E-04	0.13
0.472	5.36E-04	0.14
0.473	5.36E-04	0.15
0.474	5.36E-04	0.16
0.475	5.36E-04	0.16
0.476	5.36E-04	0.17
0.477	5.36E-04	0.18
0.478	5.36E-04	0.19
0.479	5.36E-04	0.2
0.48	5.36E-04	0.2
0.481	5.36E-04	0.21
0.482	5.36E-04	0.22
0.483	5.36E-04	0.22
0.484	5.36E-04	0.23
0.485	5.36E-04	0.24
0.486	5.36E-04	0.25
0.487	5.36E-04	0.25
0.488	5.36E-04	0.26
0.489	5.36E-04	0.26
0.49	5.36E-04	0.27
0.491	5.36E-04	0.27
0.492	5.36E-04	0.28
0.493	5.36E-04	0.28
0.494	5.36E-04	0.28
0.495	5.36E-04	0.28
0.496	5.36E-04	0.28
0.497	5.36E-04	0.29
0.498	5.36E-04	0.29
